POS Hour,Item Name,Category,Group,Units Sold
8,$12 Express Lunch,Entrees,Food,15
8,* Course Break,Entrees,Food,10
8,* Don't Make,Appetizers,Food,32
8,* Fire Order,Food Modifiers,Food,10
8,1/2 Sandwich,Sandwiches,Food,48
8,2 Breakfast Sannys,Breakfast,Food,25
8,2 eggs and toast,Breakfast,Food,4
8,2 pc Snapper & Chips,Entrees,Food,6
8,3 Course Dinner Appy,Appetizers,Food,1
8,3 Course Dinner Dessert,Desserts,Food,1
8,3 Course Dinner Entree,Entrees,Food,2
8,4 Choice Tapas,Appetizers,Food,3
8,50% off muffin,Appetizers,Food,25
8,50% off Sandwich,Sandwiches,Food,13
8,Add Chicken,Entrees,Food,2
8,Add Chicken,Soups/Salads,Food,3
8,Add Prawns,Entrees,Food,5
8,Add Prawns,Soups/Salads,Food,1
8,Appy Platter,Appetizers,Food,3
8,Artisan Greens Starter,Soups/Salads,Food,1
8,Bag - Peanuts,Appetizers,Food,10
8,Bag of Chips,Appetizers,Food,32
8,Barbeque Chicken Pizza,Entrees,Food,6
8,Basket Fries,Appetizers,Food,8
8,BBQ Burger,Burgers,Food,2
8,Bocconcini Salad,Burgers,Food,23
8,Bottle of Pop,Non Alc Beverage,Food,119
8,Bowl Chowder,Soups/Salads,Food,58
8,Bowl Soup,Soups/Salads,Food,82
8,Breakfast Sandw ONLY,Breakfast,Food,29
8,Breakfast Sandwich,Breakfast,Food,19
8,Brunch Eggs Benny,Breakfast,Food,13
8,Brunch Golfers,Breakfast,Food,40
8,Brunch Omelette,Breakfast,Food,16
8,Brunch Waffles,Breakfast,Food,1
8,Butter Chicken,Entrees,Food,8
8,Cajun Chicken Spinach Salad,Soups/Salads,Food,3
8,Cajun Halibut Burger,Burgers,Food,13
8,Chili Lime Hummus,Appetizers,Food,2
8,Chipotle Fish Pocket,Entrees,Food,3
8,Chix Cranberry Salad,Soups/Salads,Food,40
8,Chocolate Bar,Appetizers,Food,62
8,Cilantro Chix Quessadilla,Entrees,Food,3
8,Clam & Chorizo Hot Pot,Appetizers,Food,4
8,Classic Caesar,Soups/Salads,Food,12
8,Coffee,Non Alc Beverage,Food,940
8,Coffee and Doughnuts,Desserts,Food,5
8,Coffee muffin,Breakfast,Food,37
8,Cookies,Sandwiches,Food,4
8,Dessert $5,Desserts,Food,5
8,Dessert $6,Desserts,Food,4
8,Express Sandwich,Sandwiches,Food,56
8,Fruit Juices,Non Alc Beverage,Food,22
8,G2,Non Alc Beverage,Food,59
8,Garlic Bread,Soups/Salads,Food,7
8,Garlic Herb Ribs,Appetizers,Food,9
8,GlaWater,Non Alc Beverage,Food,19
8,Greek Pizza,Entrees,Food,5
8,Grilled Chicken Clubhouse,Sandwiches,Food,106
8,Half Pound Wings,Appetizers,Food,11
8,Half Sandwich,Sandwiches,Food,31
8,Halibut & Chips,Entrees,Food,13
8,Hot Chocolate,Non Alc Beverage,Food,8
8,Hot Dog,Sandwiches,Food,194
8,Hummus & Flat Bread,Appetizers,Food,1
8,Ice Tea,Non Alc Beverage,Food,39
8,Jambalaya,Entrees,Food,5
8,Juice,Non Alc Beverage,Food,76
8,"Kids 2 Eggs,Bacon & Tst",Breakfast,Food,2
8,Kids Chicken Fingers,Entrees,Food,3
8,Kids Pasta,Entrees,Food,2
8,Korean Beef Stirfry,Entrees,Food,7
8,Lamb Souvlaki,Entrees,Food,20
8,Large Pop,Non Alc Beverage,Food,714
8,Lemonade,Non Alc Beverage,Food,13
8,Meal Size Garden Greens,Soups/Salads,Food,21
8,Meal Size Soup,Soups/Salads,Food,13
8,Mediterranean Chix Wrap,Burgers,Food,49
8,Mediterranean Pizza,Entrees,Food,5
8,Milk,Non Alc Beverage,Food,6
8,Milkshake,Desserts,Food,9
8,Mocha,Non Alc Beverage,Food,2
8,Mon California Roll,Entrees,Food,1
8,Mother's Day Brunch,Entrees,Food,2
8,Muffin,Appetizers,Food,94
8,Non-Alcoholic Beer,Non Alc Beverage,Food,5
8,NY Steak & Frites,Entrees,Food,3
8,One Piece Halibut & Chips,Entrees,Food,4
8,Pasta Night $21.95,Entrees,Food,8
8,Phat Italian,Burgers,Food,25
8,Pizza Margarita,Burgers,Food,35
8,PizzaThe Italian,Entrees,Food,23
8,Pound Wings,Appetizers,Food,17
8,Power Bar,Sandwiches,Food,3
8,Prime Rib Burger,Burgers,Food,83
8,Pulled Pork Sandwich,Burgers,Food,18
8,Salmon Benedict,Breakfast,Food,2
8,San Pellegrino,Non Alc Beverage,Food,7
8,Sandwich,Sandwiches,Food,133
8,Sandwich ONLY,Sandwiches,Food,11
8,Sandwich to go,Sandwiches,Food,22
8,Sat Fish & Chip,Entrees,Food,1
8,Seafood Pappardelle,Entrees,Food,9
8,Side Fruit,Breakfast,Food,2
8,Side Maple Sausage,Breakfast,Food,2
8,Side of Fries,Appetizers,Food,9
8,Smokie,Sandwiches,Food,18
8,Special $9,Entrees,Food,1
8,Special 10.00,Entrees,Food,12
8,Special 11.00,Entrees,Food,5
8,Special 13.00,Entrees,Food,2
8,Special 18.00,Entrees,Food,3
8,Special 19.00,Entrees,Food,9
8,Special 22.00,Entrees,Food,4
8,Special 8.00,Entrees,Food,4
8,Spiced Apple Crumble,Burgers,Food,5
8,Spicy Chicken Soba,Burgers,Food,31
8,Spicy Meat Pizza,Entrees,Food,2
8,Starter Classic Caesar,Soups/Salads,Food,3
8,Sundried Tomato Ravioli,Entrees,Food,6
8,Tapas Beef,Appetizers,Food,4
8,Tapas Chef Choice,Appetizers,Food,4
8,Tapas Seafood,Appetizers,Food,2
8,Tapas Vegetarian,Appetizers,Food,2
8,Tea,Non Alc Beverage,Food,75
8,Three Cheese Flatbread,Appetizers,Food,7
8,Thur Dry Rib,Appetizers,Food,2
8,Tue Fish Taco,Entrees,Food,2
8,Ultimate Steak Sandwich,Sandwiches,Food,18
8,Vegetable Spinach Ciabatta,Burgers,Food,29
8,Virgin Caesar,Non Alc Beverage,Food,4
8,Water-Bottle,Non Alc Beverage,Food,81
8,Wednesday Appy,Appetizers,Food,8
8,West Coast Seafood Salad,Soups/Salads,Food,12
8,Yam Fries,Appetizers,Food,32
9,$12 Express Lunch,Entrees,Food,6
9,* Course Break,Entrees,Food,11
9,* Don't Make,Appetizers,Food,56
9,* Fire Order,Food Modifiers,Food,9
9,1 pc Snapper & Chips,Entrees,Food,1
9,1/2 Sandwich,Sandwiches,Food,40
9,2 Breakfast Sannys,Breakfast,Food,19
9,2 eggs and toast,Breakfast,Food,14
9,2 pc Snapper & Chips,Entrees,Food,3
9,50% off muffin,Appetizers,Food,21
9,50% off Sandwich,Sandwiches,Food,27
9,Add Chicken,Entrees,Food,4
9,Add Chicken,Soups/Salads,Food,6
9,Add One Egg,Breakfast,Food,5
9,Add Prawns,Entrees,Food,3
9,Appy Platter,Appetizers,Food,11
9,Artisan Greens Starter,Soups/Salads,Food,3
9,Bag - Peanuts,Appetizers,Food,17
9,Bag of Chips,Appetizers,Food,33
9,Barbeque Chicken Pizza,Entrees,Food,4
9,Basket Fries,Appetizers,Food,9
9,Bayou Bourban Choc Torte,Desserts,Food,1
9,Bocconcini Salad,Burgers,Food,23
9,Bottle of Pop,Non Alc Beverage,Food,153
9,Bowl Chowder,Soups/Salads,Food,75
9,Bowl Soup,Soups/Salads,Food,89
9,Breakfast Sandw ONLY,Breakfast,Food,35
9,Breakfast Sandwich,Breakfast,Food,37
9,Brunch Eggs Benny,Breakfast,Food,8
9,Brunch Golfers,Breakfast,Food,36
9,Brunch Omelette,Breakfast,Food,17
9,Brunch Waffles,Breakfast,Food,4
9,Butter Chicken,Entrees,Food,6
9,Cajun Chicken Spinach Salad,Soups/Salads,Food,3
9,Cajun Halibut Burger,Burgers,Food,17
9,Child's Brunch/year,Entrees,Food,10
9,Chili Lime Hummus,Appetizers,Food,4
9,Chipotle Fish Pocket,Entrees,Food,4
9,Chix Cranberry Salad,Soups/Salads,Food,49
9,Chocolate Bar,Appetizers,Food,57
9,Cilantro Chix Quessadilla,Entrees,Food,7
9,Clam & Chorizo Hot Pot,Appetizers,Food,2
9,Classic Caesar,Soups/Salads,Food,2
9,Coffee,Non Alc Beverage,Food,1153
9,Coffee muffin,Breakfast,Food,31
9,Cookies,Sandwiches,Food,5
9,Dessert $5,Desserts,Food,8
9,Express Sandwich,Sandwiches,Food,82
9,Fruit Juices,Non Alc Beverage,Food,24
9,G2,Non Alc Beverage,Food,77
9,Garlic Bread,Soups/Salads,Food,12
9,Garlic Herb Ribs,Appetizers,Food,8
9,GlaWater,Non Alc Beverage,Food,11
9,Greek Chicken Salad,Soups/Salads,Food,2
9,Greek Pizza,Entrees,Food,5
9,Grilled Chicken Clubhouse,Sandwiches,Food,90
9,Half Pound Wings,Appetizers,Food,6
9,Half Sandwich,Sandwiches,Food,25
9,Halibut & Chips,Entrees,Food,18
9,Hot Chocolate,Non Alc Beverage,Food,24
9,Hot Dog,Sandwiches,Food,165
9,Hummus & Flat Bread,Appetizers,Food,1
9,Ice Tea,Non Alc Beverage,Food,22
9,Jambalaya,Entrees,Food,5
9,Juice,Non Alc Beverage,Food,109
9,"Kids 2 Eggs,Bacon & Tst",Breakfast,Food,2
9,Kids Chicken Fingers,Entrees,Food,2
9,Kids Grilled Cheese,Entrees,Food,1
9,Kids Trio Burger / Fries,Entrees,Food,2
9,Korean Beef Stirfry,Entrees,Food,4
9,Lamb Souvlaki,Entrees,Food,13
9,Large Pop,Non Alc Beverage,Food,1142
9,Lemonade,Non Alc Beverage,Food,15
9,Mario's Vanilla Gelato,Desserts,Food,2
9,Meal Size Garden Greens,Soups/Salads,Food,12
9,Meal Size Soup,Soups/Salads,Food,14
9,Mediterranean Chix Wrap,Burgers,Food,49
9,Mediterranean Pizza,Entrees,Food,13
9,Milk,Non Alc Beverage,Food,3
9,Milkshake,Desserts,Food,2
9,Mon California Roll,Entrees,Food,2
9,Mother's Day Brunch,Entrees,Food,7
9,Muffin,Appetizers,Food,91
9,Non-Alcoholic Beer,Non Alc Beverage,Food,2
9,NY Steak & Frites,Entrees,Food,1
9,One Piece Halibut & Chips,Entrees,Food,8
9,Pasta Night $21.95,Entrees,Food,7
9,Phat Italian,Burgers,Food,19
9,Pizza Margarita,Burgers,Food,18
9,PizzaThe Italian,Entrees,Food,17
9,Pound Wings,Appetizers,Food,23
9,Power Bar,Sandwiches,Food,6
9,Prime Rib Burger,Burgers,Food,66
9,Pulled Pork Sandwich,Burgers,Food,11
9,Salmon Benedict,Breakfast,Food,2
9,San Pellegrino,Non Alc Beverage,Food,5
9,Sandwich,Sandwiches,Food,150
9,Sandwich ONLY,Sandwiches,Food,9
9,Sandwich to go,Sandwiches,Food,10
9,Sat Fish & Chip,Entrees,Food,3
9,Seafood Pappardelle,Entrees,Food,9
9,Side Bacon,Breakfast,Food,2
9,Side of Fries,Appetizers,Food,6
9,Side Toast,Breakfast,Food,7
9,Smokie,Sandwiches,Food,27
9,Sorbet,Desserts,Food,1
9,Special 10.00,Entrees,Food,20
9,Special 13.00,Entrees,Food,2
9,Special 17.00,Entrees,Food,1
9,Special 19.00,Entrees,Food,2
9,Special 22.00,Entrees,Food,19
9,Special 8.00,Entrees,Food,2
9,Spiced Apple Crumble,Burgers,Food,4
9,Spicy Chicken Soba,Burgers,Food,17
9,Spicy Meat Pizza,Entrees,Food,5
9,Starter Classic Caesar,Soups/Salads,Food,7
9,Sundried Tomato Ravioli,Entrees,Food,2
9,Tapas Beef,Appetizers,Food,2
9,Tapas Chef Choice,Appetizers,Food,3
9,Tea,Non Alc Beverage,Food,81
9,Three Cheese Flatbread,Appetizers,Food,11
9,Thur Dry Rib,Appetizers,Food,7
9,Tue Fish Taco,Entrees,Food,1
9,Ultimate Steak Sandwich,Sandwiches,Food,33
9,Valentines Dinner,Entrees,Food,2
9,Vegetable Spinach Ciabatta,Burgers,Food,27
9,Virgin Caesar,Non Alc Beverage,Food,3
9,Water-Bottle,Non Alc Beverage,Food,68
9,Wednesday Appy,Appetizers,Food,9
9,West Coast Seafood Salad,Soups/Salads,Food,6
9,Yam Fries,Appetizers,Food,16
10,$12 Express Lunch,Entrees,Food,13
10,* Course Break,Entrees,Food,13
10,* Don't Make,Appetizers,Food,46
10,* Fire Order,Food Modifiers,Food,7
10,1/2 Sandwich,Sandwiches,Food,42
10,2 Breakfast Sannys,Breakfast,Food,19
10,2 eggs and toast,Breakfast,Food,6
10,2 pc Snapper & Chips,Entrees,Food,8
10,3 Course Dinner Entree,Entrees,Food,1
10,50% off muffin,Appetizers,Food,18
10,50% off Sandwich,Sandwiches,Food,9
10,Add Cheese,Appetizers,Food,1
10,Add Chicken,Entrees,Food,7
10,Add Chicken,Soups/Salads,Food,6
10,Add Prawns,Entrees,Food,8
10,Appy Platter,Appetizers,Food,10
10,Artisan Greens Starter,Soups/Salads,Food,11
10,Bag - Peanuts,Appetizers,Food,13
10,Bag of Chips,Appetizers,Food,53
10,Barbeque Chicken Pizza,Entrees,Food,4
10,Basket Fries,Appetizers,Food,15
10,Bayou Bourban Choc Torte,Desserts,Food,2
10,BBQ Burger,Burgers,Food,2
10,Bocconcini Salad,Burgers,Food,22
10,Bottle of Pop,Non Alc Beverage,Food,115
10,Bowl Chowder,Soups/Salads,Food,102
10,Bowl Soup,Soups/Salads,Food,79
10,Breakfast Sandw ONLY,Breakfast,Food,18
10,Breakfast Sandwich,Breakfast,Food,30
10,Brunch Eggs Benny,Breakfast,Food,14
10,Brunch Golfers,Breakfast,Food,41
10,Brunch Omelette,Breakfast,Food,16
10,Brunch Waffles,Breakfast,Food,3
10,Butter Chicken,Entrees,Food,3
10,Cajun Chicken Spinach Salad,Soups/Salads,Food,23
10,Cajun Halibut Burger,Burgers,Food,23
10,Cappuccino,Non Alc Beverage,Food,3
10,Chili Lime Hummus,Appetizers,Food,4
10,Chipotle Fish Pocket,Entrees,Food,2
10,Chix Cranberry Salad,Soups/Salads,Food,73
10,Chocolate Bar,Appetizers,Food,67
10,Cilantro Chix Quessadilla,Entrees,Food,6
10,Clam & Chorizo Hot Pot,Appetizers,Food,9
10,Classic Caesar,Soups/Salads,Food,18
10,Coffee,Non Alc Beverage,Food,661
10,Coffee muffin,Breakfast,Food,26
10,Cookies,Sandwiches,Food,4
10,Dessert $5,Desserts,Food,6
10,Dessert $6,Desserts,Food,5
10,Express Sandwich,Sandwiches,Food,73
10,Fruit Juices,Non Alc Beverage,Food,38
10,G2,Non Alc Beverage,Food,54
10,Garlic Bread,Soups/Salads,Food,8
10,Garlic Herb Ribs,Appetizers,Food,6
10,GlaWater,Non Alc Beverage,Food,14
10,Greek Chicken Salad,Soups/Salads,Food,2
10,Greek Pizza,Entrees,Food,9
10,Grilled Chicken Clubhouse,Sandwiches,Food,80
10,Half Pound Wings,Appetizers,Food,7
10,Half Sandwich,Sandwiches,Food,22
10,Halibut & Chips,Entrees,Food,12
10,Hot Chocolate,Non Alc Beverage,Food,14
10,Hot Dog,Sandwiches,Food,170
10,Hummus & Flat Bread,Appetizers,Food,5
10,Ice Tea,Non Alc Beverage,Food,29
10,Jambalaya,Entrees,Food,3
10,Juice,Non Alc Beverage,Food,52
10,Kids Chicken Fingers,Entrees,Food,2
10,Kids Grilled Cheese,Entrees,Food,3
10,Kids Trio Burger / Fries,Entrees,Food,2
10,Korean Beef Satays,Appetizers,Food,3
10,Korean Beef Stirfry,Entrees,Food,4
10,Lamb Souvlaki,Entrees,Food,7
10,Large Pop,Non Alc Beverage,Food,301
10,Lemonade,Non Alc Beverage,Food,11
10,Mario's Vanilla Gelato,Desserts,Food,1
10,Meal Size Garden Greens,Soups/Salads,Food,7
10,Meal Size Soup,Soups/Salads,Food,18
10,Mediterranean Chix Wrap,Burgers,Food,49
10,Mediterranean Pizza,Entrees,Food,8
10,Milk,Non Alc Beverage,Food,6
10,Milkshake,Desserts,Food,2
10,Mocha,Non Alc Beverage,Food,8
10,Mon California Roll,Entrees,Food,2
10,Mother's Day Brunch,Entrees,Food,12
10,Muffin,Appetizers,Food,84
10,Non-Alcoholic Beer,Non Alc Beverage,Food,10
10,NY Steak & Frites,Entrees,Food,6
10,One Piece Halibut & Chips,Entrees,Food,7
10,Pasta Night $21.95,Entrees,Food,7
10,Phat Italian,Burgers,Food,21
10,Pizza Margarita,Burgers,Food,25
10,PizzaThe Italian,Entrees,Food,29
10,Pound Wings,Appetizers,Food,14
10,Power Bar,Sandwiches,Food,2
10,Prime Rib Burger,Burgers,Food,88
10,Pulled Pork Sandwich,Burgers,Food,15
10,Salmon Benedict,Breakfast,Food,8
10,San Pellegrino,Non Alc Beverage,Food,2
10,Sandwich,Sandwiches,Food,145
10,Sandwich ONLY,Sandwiches,Food,14
10,Sandwich to go,Sandwiches,Food,9
10,Seafood Pappardelle,Entrees,Food,1
10,Side Fruit,Breakfast,Food,2
10,Side Hashbrowns,Breakfast,Food,3
10,Side Maple Sausage,Breakfast,Food,4
10,Side of Fries,Appetizers,Food,8
10,Side of Gravy,Appetizers,Food,1
10,Side Toast,Breakfast,Food,2
10,Smokie,Sandwiches,Food,23
10,Special $25,Entrees,Food,2
10,Special $9,Entrees,Food,4
10,Special 10.00,Entrees,Food,16
10,Special 11.00,Entrees,Food,3
10,Special 17.00,Entrees,Food,1
10,Special 22.00,Entrees,Food,5
10,Special 8.00,Entrees,Food,1
10,Spiced Apple Crumble,Burgers,Food,7
10,Spicy Chicken Soba,Burgers,Food,14
10,Spicy Meat Pizza,Entrees,Food,8
10,Starter Classic Caesar,Soups/Salads,Food,4
10,Tapas Beef,Appetizers,Food,2
10,Tapas Chef Choice,Appetizers,Food,4
10,Tapas Seafood,Appetizers,Food,1
10,Tapas Vegetarian,Appetizers,Food,1
10,Tea,Non Alc Beverage,Food,91
10,Three Cheese Flatbread,Appetizers,Food,7
10,Thur Dry Rib,Appetizers,Food,2
10,Ultimate Steak Sandwich,Sandwiches,Food,26
10,Vegetable Spinach Ciabatta,Burgers,Food,36
10,Virgin Caesar,Non Alc Beverage,Food,7
10,Water-Bottle,Non Alc Beverage,Food,75
10,Wednesday Appy,Appetizers,Food,11
10,West Coast Seafood Salad,Soups/Salads,Food,14
10,Yam Fries,Appetizers,Food,23
11,$12 Express Lunch,Entrees,Food,33
11,$7 Martini Special,Liquor,Alcohol,14
11,* Course Break,Entrees,Food,64
11,* Don't Make,Appetizers,Food,43
11,* Fire Order,Food Modifiers,Food,57
11,1/2 Lindemans Bin 45 Cabernet,Wine,Alcohol,11
11,1/2 Lindemans Bin 65 Chard,Wine,Alcohol,6
11,1/2 Sandwich,Sandwiches,Food,72
11,1/2L Beringer Zinfandel,Wine,Alcohol,2
11,1/2L Eaglehawk Shiraz,Wine,Alcohol,3
11,1/2L Linden Bay Merlot,Wine,Alcohol,24
11,1/2L Mezzamondo Negroamaro,Wine,Alcohol,7
11,1/2L Naked Grape Pinot Grigio,Wine,Alcohol,56
11,1/2L Rosemnt Road R,Wine,Alcohol,12
11,1/2L Rosemnt Road W,Wine,Alcohol,3
11,2 Breakfast Sannys,Breakfast,Food,21
11,2 eggs and toast,Breakfast,Food,7
11,2 pc Snapper & Chips,Entrees,Food,3
11,3 Course Dinner Appy,Appetizers,Food,16
11,3 Course Dinner Dessert,Desserts,Food,14
11,3 Course Dinner Entree,Entrees,Food,14
11,4 Choice Tapas,Appetizers,Food,47
11,4 Pack Premium,Canned Beer,Alcohol,19
11,4oz  2 GlaWine,Wine,Alcohol,34
11,4oz Wine Glass,Wine,Alcohol,10
11,4pk Domestic Cans,Canned Beer,Alcohol,33
11,5 Pack Domestic,Canned Beer,Alcohol,14
11,5 Pack Premium,Canned Beer,Alcohol,21
11,50% off muffin,Appetizers,Food,27
11,50% off Sandwich,Sandwiches,Food,14
11,Add Chicken,Entrees,Food,14
11,Add Chicken,Soups/Salads,Food,11
11,Add Prawns,Entrees,Food,10
11,Add Prawns,Soups/Salads,Food,4
11,Add Sauteed Mushrooms,Entrees,Food,2
11,Amaretto,Liquor,Alcohol,3
11,Appy Platter,Appetizers,Food,33
11,Artisan Greens Starter,Soups/Salads,Food,15
11,Bac. Orange,Coolers/Ciders,Alcohol,3
11,Bac. Pineapple,Coolers/Ciders,Alcohol,1
11,Bacardi,Liquor,Alcohol,1
11,Bag - Peanuts,Appetizers,Food,41
11,Bag of Chips,Appetizers,Food,147
11,Baileys Irish Cream,Liquor,Alcohol,14
11,Banrock Station Shiraz Mataro,Wine,Alcohol,1
11,Barbeque Chicken Pizza,Entrees,Food,15
11,Basket Fries,Appetizers,Food,6
11,Bayou Bourban Choc Torte,Desserts,Food,16
11,Beringer Small Wine,Wine,Alcohol,41
11,Beringer White Zinfandel,Wine,Alcohol,3
11,Big Easy,Liquor,Alcohol,3
11,Bin End $ 19.00,Wine,Alcohol,0
11,Bin end $17.95,Wine,Alcohol,5
11,Bin end $19.95,Wine,Alcohol,1
11,Bin end $21,Wine,Alcohol,7
11,Bin end $26,Wine,Alcohol,3
11,Bin end $27,Wine,Alcohol,1
11,Bin end $35,Wine,Alcohol,2
11,Bin end $36,Wine,Alcohol,3
11,Bin end $65.95,Wine,Alcohol,2
11,Bin end $70,Wine,Alcohol,1
11,Black Lager Glass,Draft Beer,Alcohol,13
11,Black Russian,Liquor,Alcohol,3
11,Blueberry Tea,Liquor,Alcohol,1
11,Bocconcini Salad,Burgers,Food,39
11,Bombay Sapphire,Liquor,Alcohol,12
11,Bottle La Veille Ferme,Wine,Alcohol,4
11,Bottle of Pop,Non Alc Beverage,Food,235
11,Bottle Rosemount Road Red,Wine,Alcohol,12
11,Bowl Chowder,Soups/Salads,Food,125
11,Bowl Soup,Soups/Salads,Food,173
11,Bowmore,Liquor,Alcohol,7
11,Breakfast Sandw ONLY,Breakfast,Food,27
11,Breakfast Sandwich,Breakfast,Food,26
11,Brunch Eggs Benny,Breakfast,Food,12
11,Brunch Golfers,Breakfast,Food,55
11,Brunch Omelette,Breakfast,Food,24
11,Brunch Waffles,Breakfast,Food,5
11,Btl Banrock Station Unwood Chard,Wine,Alcohol,2
11,Btl Beringer Zinfan,Wine,Alcohol,2
11,BTL Inniskillan Cab Sav,Wine,Alcohol,3
11,BTL Mezzamondo Negroamaro,Wine,Alcohol,10
11,Btl Perrin Reserve,Wine,Alcohol,2
11,BTL Toasted Head Merlot,Wine,Alcohol,5
11,Btl Wolf BlaChard,Wine,Alcohol,13
11,Bucket of Sol,Bottled Beer,Alcohol,9
11,Budweiser,Bottled Beer,Alcohol,133
11,Butter Chicken,Entrees,Food,8
11,Caesar,Liquor,Alcohol,125
11,Cajun Chicken Spinach Salad,Soups/Salads,Food,11
11,Cajun Halibut Burger,Burgers,Food,56
11,Canadian,Bottled Beer,Alcohol,42
11,Cappuccino,Non Alc Beverage,Food,13
11,Captain Morgan Spice,Liquor,Alcohol,1
11,Cash Bar - Coolers,Coolers/Ciders,Alcohol,9
11,Cash Bar - Highball,Liquor,Alcohol,83
11,Cash Bar - Juice,Non Alc Beverage,Food,3
11,Cash Bar - Martini,Liquor,Alcohol,19
11,Cash Bar - Pop,Non Alc Beverage,Food,17
11,Cash Bar - Wine Gl,Wine,Alcohol,120
11,CASH Dom Beer,Bottled Beer,Alcohol,77
11,CASH Premium,Bottled Beer,Alcohol,37
11,Champagne & OJ,Liquor,Alcohol,14
11,Chateau La Couranconne,Wine,Alcohol,2
11,Chateaux Pesquie,Wine,Alcohol,1
11,Chi Chi,Liquor,Alcohol,1
11,Child's Brunch/year,Entrees,Food,9
11,Chili Lime Hummus,Appetizers,Food,8
11,Chipotle Fish Pocket,Entrees,Food,4
11,Chix Cranberry Salad,Soups/Salads,Food,112
11,Chocolate Bar,Appetizers,Food,134
11,Cilantro Chix Quessadilla,Entrees,Food,11
11,Cinzano Red,Liquor,Alcohol,1
11,Clam & Chorizo Hot Pot,Appetizers,Food,10
11,Classic Caesar,Soups/Salads,Food,39
11,Classic Martini Gin,Liquor,Alcohol,6
11,Classic Martini Vodka,Liquor,Alcohol,2
11,Coffee,Non Alc Beverage,Food,1121
11,Coffee and Doughnuts,Desserts,Food,3
11,Coffee muffin,Breakfast,Food,42
11,Continental Brunch,Breakfast,Food,2
11,Coolers,Coolers/Ciders,Alcohol,111
11,Coors Light,Bottled Beer,Alcohol,67
11,Corona,Bottled Beer,Alcohol,8
11,Cosmopolitan,Liquor,Alcohol,4
11,Crab & Artichoke,Appetizers,Food,1
11,Cracked Frank's Member Sleeve,Draft Beer,Alcohol,180
11,Crantini,Liquor,Alcohol,1
11,Crown Royal,Liquor,Alcohol,4
11,Cuervo,Liquor,Alcohol,5
11,Daquiri,Liquor,Alcohol,2
11,Dark Rum,Liquor,Alcohol,23
11,DB  Gin,Liquor,Alcohol,2
